advice_episode,start_step,episode_length,llm_advice,advice_category,followed_advice_lenient,followed_advice_strict,alignment_rate,matched_in_window,total_reward,avg_reward,sr_change,hp_change,hp_before,reward_before,sr_before,level_before,critical_hp
1,0,1,,none,0,0,0.0,False,-0.01,-0.01,0.0,0.0,66.7,0.0,0.0,14,0
2,0,1,Search the area for items and clues,exploration,0,0,0.0,False,0.0,0.0,0.0,0.0,407.7,-0.01,0.01,14,0
3,0,1,Search for food and water to avoid fainting again,survival,1,1,1.0,True,0.0,0.0,0.0,0.0,485.7,0.0,0.01,12,0
4,0,1,Eat something to restore health,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,1375.0,0.0,0.01,14,0
5,0,1,Investigate the crude dagger and potential threats,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,162.5,0.0,0.01,14,0
6,0,1,Avoid kobold attacks and focus on survival,combat,1,1,1.0,True,0.0,0.0,0.0,0.0,820.0,0.0,0.01,16,0
7,5,1,Search for items and potential threats,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,378.6,0.0,-0.01,14,0
8,5,1,Search for food and water to avoid fainting again,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,425.0,-0.01,-0.01,12,0
9,5,1,Avoid kobold attacks and focus on survival,combat,0,0,0.0,False,0.0,0.0,0.0,0.0,1100.0,-0.01,0.013,16,0
10,5,1,Investigate the crude dagger and potential threats,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,300.0,0.0,0.0,14,0
11,5,1,,none,0,0,0.0,False,-0.01,-0.01,0.0,0.0,33.3,-0.01,-0.01,14,1
12,5,1,Investigate the recent message and provide a direction,other,0,0,0.0,False,-0.01,-0.01,0.0,0.0,2700.0,-0.01,-0.01,14,0
13,10,1,Search the area for potential threats and items,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,1433.3,-0.01,0.0,16,0
14,10,1,Eat something to regain health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,425.0,0.0,-0.01,12,0
15,10,1,Search the area for potential items and threats,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,280.0,-0.01,-0.01,14,0
16,10,1,Eat something to recover health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,33.3,-0.01,-0.01,14,1
17,10,1,Search for items and potential threats,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,400.0,-0.01,-0.01,14,0
18,10,1,Investigate the recent message and provide a direction,other,0,0,0.0,False,-0.01,-0.01,0.0,0.0,933.3,-0.01,-0.01,14,0
19,15,1,Search the area for potential threats and items,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,880.0,-0.01,-0.01,16,0
20,15,1,Search the area for potential items and threats,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,280.0,-0.01,-0.01,14,0
21,15,1,Search the area for items and potential threats,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,392.3,-0.01,0.011,14,0
22,15,1,Eat something to regain health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,425.0,0.0,-0.02,12,0
23,15,1,Search the area for items and potential threats,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,1033.3,-0.01,-0.01,14,0
24,15,1,Eat something to recover health,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,60.0,-0.01,0.011,14,0
25,20,1,Search the area for items and potential threats,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,325.0,0.0,0.012,14,0
26,20,1,Eat something to recover health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,162.5,0.0,-0.009,14,0
27,20,1,Search the area for items and potential threats,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,700.0,-0.01,-0.01,16,0
28,20,1,Search for items and clues to progress deeper,exploration,1,1,1.0,True,-0.01,-0.01,0.0,0.0,377.8,-0.01,-0.01,12,0
29,20,1,Search the area for items and potential threats,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,1733.3,-0.01,0.001,14,0
30,20,1,Search the area for items and clues to gain more information about your surroundings.,exploration,0,0,0.0,False,-0.01,-0.01,0.0,0.0,33.3,0.0,-0.01,14,1
31,25,2,Search the area for items and potential threats,survival,1,1,0.5,True,-0.01,-0.005,-0.018000000000000002,-2000.0,2600.0,-0.01,0.008,14,0
32,25,1,Search for items and clues to progress deeper,exploration,0,0,0.0,False,0.0,0.0,0.0,0.0,425.0,-0.01,0.0,12,0
33,25,1,Search the area for items and clues to gain more information about your surroundings.,exploration,1,1,1.0,True,0.0,0.0,0.0,0.0,40.0,0.0,0.01,14,1
34,25,1,Eat something to regain health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,325.0,0.0,-0.01,14,0
35,25,1,Eat something to recover health,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,162.5,-0.01,-0.01,14,0
36,30,1,Search for items and potential threats,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,283.3,-0.01,-0.01,14,0
37,30,1,Search the area for items and potential threats,survival,1,1,1.0,True,0.0,0.0,0.0,0.0,1733.3,-0.01,0.001,14,0
38,30,1,Eat something to regain health,survival,1,1,1.0,True,-0.01,-0.01,0.0,0.0,331.2,0.0,-0.01,14,0
39,30,1,Search the area for potential threats and items,survival,0,0,0.0,False,0.0,0.0,0.0,0.0,366.7,-0.01,0.001,12,0
40,30,1,Eat something to regain health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,75.0,0.0,-0.01,14,0
41,30,1,Eat something to restore health,survival,0,0,0.0,False,-0.01,-0.01,0.0,0.0,600.0,-0.01,-0.01,16,0
