step,action,reward,smoothed_reward,hp,level,llm_advice,llm_data,llm_priority,llm_risk,llm_strategy,llm_suggestions,action_in_suggestions,hp_change,reward_change,sr_change,level_up,hp_lag1,reward_lag1,sr_lag1,reward_ma5,hp_ma5,reward_std5,advice_category,action_category,critical_hp,low_hp,high_hp,steps_since_advice_change,reward_momentum,episode_stage
0,read,-0.01,0.0,66.7,14,,,,,,[],False,,,,0,,,,-0.01,66.7,,none,item_use,0,1,0,0,,early
0,drink,0.0,0.01,407.7,14,Search the area for items and clues,,,,,[],False,341.0,0.01,0.01,0,66.7,-0.01,0.0,-0.005,237.2,0.007071067811865475,exploration,item_use,0,0,1,0,0.01,early
0,move_east,0.0,0.01,485.7,12,Search for food and water to avoid fainting again,,,,,[],False,78.0,0.0,0.0,0,407.7,0.0,0.01,-0.0033333333333333335,320.0333333333333,0.005773502691896258,exploration,move,0,0,1,0,0.005,early
0,move_south,0.0,0.01,1375.0,14,Eat something to restore health,,,,,[],False,889.3,0.0,0.0,1,485.7,0.0,0.01,-0.0025,583.775,0.005,survival,move,0,0,1,0,0.0033333333333333335,early
0,move_southeast,0.0,0.01,162.5,14,Investigate the crude dagger and potential threats,,,,,[],False,-1212.5,0.0,0.0,0,1375.0,0.0,0.01,-0.002,499.52,0.00447213595499958,survival,move,0,0,1,0,0.0,early
0,throw,0.0,0.01,820.0,16,Avoid kobold attacks and focus on survival,,,,,[],False,657.5,0.0,0.0,1,162.5,0.0,0.01,0.0,650.1800000000001,0.0,combat,other,0,0,1,0,0.0,early
5,read,-0.01,-0.01,378.6,14,Search for items and potential threats,,,,,[],False,-441.4,-0.01,-0.02,0,820.0,0.0,0.01,-0.002,644.3599999999999,0.00447213595499958,survival,item_use,0,0,1,0,-0.006666666666666667,early
5,take_off,-0.01,-0.01,425.0,12,Search for food and water to avoid fainting again,,,,,[],False,46.39999999999998,0.0,0.0,0,378.6,-0.01,-0.01,-0.004,632.22,0.005477225575051661,exploration,equipment,0,0,1,0,-0.006666666666666667,early
5,close_door,0.0,0.013,1100.0,16,Avoid kobold attacks and focus on survival,,,,,[],False,675.0,0.01,0.023,1,425.0,-0.01,-0.01,-0.004,577.22,0.005477225575051661,combat,interaction,0,0,1,0,0.0009999999999999998,early
5,move_south,-0.01,0.0,300.0,14,Investigate the crude dagger and potential threats,,,,,[],False,-800.0,-0.01,-0.013,0,1100.0,0.0,0.013,-0.006,604.72,0.005477225575051661,survival,move,0,0,1,0,0.0033333333333333335,early
5,move_southwest,-0.01,-0.01,33.3,14,,,,,,[],False,-266.7,0.0,-0.01,0,300.0,-0.01,0.0,-0.008,447.38,0.00447213595499958,none,move,1,1,0,0,0.0,early
5,drop,-0.01,-0.01,2700.0,14,Investigate the recent message and provide a direction,,,,,[],False,2666.7,0.0,0.0,0,33.3,-0.01,-0.01,-0.008,911.6600000000001,0.00447213595499958,other,inventory,0,0,1,0,-0.007666666666666666,early
10,throw,0.0,0.0,1433.3,16,Search the area for potential threats and items,,,,,[],False,-1266.7,0.01,0.01,1,2700.0,-0.01,-0.01,-0.006,1113.3200000000002,0.005477225575051661,survival,other,0,0,1,0,0.0,early
10,take_off,-0.01,-0.01,425.0,12,Eat something to regain health,,,,,[],False,-1008.3,-0.01,-0.01,0,1433.3,0.0,0.0,-0.008,978.32,0.00447213595499958,survival,equipment,0,0,1,0,0.0,early
10,wield,-0.01,-0.01,280.0,14,Search the area for potential items and threats,,,,,[],False,-145.0,0.0,0.0,1,425.0,-0.01,-0.01,-0.008,974.32,0.00447213595499958,survival,equipment,0,0,1,0,0.0,early
10,move_southwest,-0.01,-0.01,33.3,14,Eat something to recover health,,,,,[],False,-246.7,0.0,0.0,0,280.0,-0.01,-0.01,-0.008,974.32,0.00447213595499958,survival,move,1,1,0,0,-0.0033333333333333335,early
10,move_south,-0.01,-0.01,400.0,14,Search for items and potential threats,,,,,[],False,366.7,0.0,0.0,0,33.3,-0.01,-0.01,-0.008,514.3199999999999,0.00447213595499958,survival,move,0,0,1,0,0.0,early
10,move_north,-0.01,-0.01,933.3,14,Investigate the recent message and provide a direction,,,,,[],False,533.3,0.0,0.0,0,400.0,-0.01,-0.01,-0.01,414.32,0.0,other,move,0,0,1,0,0.0,early
15,kick,-0.01,-0.01,880.0,16,Search the area for potential threats and items,,,,,[],False,-53.299999999999955,0.0,0.0,1,933.3,-0.01,-0.01,-0.01,505.32,0.0,survival,interaction,0,0,1,0,0.0,early
15,throw,-0.01,-0.01,280.0,14,Search the area for potential items and threats,,,,,[],False,-600.0,0.0,0.0,0,880.0,-0.01,-0.01,-0.01,505.32,0.0,survival,other,0,0,1,0,0.0,early
15,close_door,0.0,0.011,392.3,14,Search the area for items and potential threats,,,,,[],False,112.30000000000001,0.01,0.020999999999999998,0,280.0,-0.01,-0.01,-0.008,577.12,0.00447213595499958,survival,interaction,0,0,1,0,0.006999999999999999,early
15,take_off,-0.01,-0.02,425.0,12,Eat something to regain health,,,,,[],False,32.69999999999999,-0.01,-0.031,0,392.3,0.0,0.011,-0.008,582.12,0.00447213595499958,survival,equipment,0,0,1,0,-0.003333333333333334,early
