advice_episode,start_step,end_step,episode_length,llm_advice,advice_category,llm_priority,alignment_rate,followed_advice,first_action_matches,total_reward,avg_reward,final_sr,sr_change,hp_start,hp_end,hp_change,level_ups,hp_at_advice,reward_before,sr_before,critical_hp_at_start,level_at_start,most_common_action,unique_actions
1,0,0,1,,none,,0.0,0,False,-0.01,-0.01,0.0,0.0,66.7,66.7,0.0,0,,,,0,14,item_use,1
2,0,0,1,Search the area for items and clues,exploration,,0.0,0,False,0.0,0.0,0.01,0.0,407.7,407.7,341.0,0,66.7,-0.01,0.0,0,14,item_use,1
3,0,0,1,Search for food and water to avoid fainting again,survival,,0.0,0,False,0.0,0.0,0.01,0.0,485.7,485.7,78.0,0,407.7,0.0,0.01,0,12,movement,1
4,0,0,1,Eat something to restore health,survival,,0.0,0,False,0.0,0.0,0.01,0.0,1375.0,1375.0,889.3,1,485.7,0.0,0.01,0,14,movement,1
5,0,0,1,Investigate the crude dagger and potential threats,survival,,0.0,0,False,0.0,0.0,0.01,0.0,162.5,162.5,-1212.5,0,1375.0,0.0,0.01,0,14,movement,1
6,0,0,1,Avoid kobold attacks and focus on survival,combat,,0.0,0,False,0.0,0.0,0.01,0.0,820.0,820.0,657.5,1,162.5,0.0,0.01,0,16,combat,1
7,5,5,1,Search for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,378.6,378.6,-441.4,0,820.0,0.0,0.01,0,14,item_use,1
8,5,5,1,Search for food and water to avoid fainting again,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,425.0,425.0,46.39999999999998,0,378.6,-0.01,-0.01,0,12,equipment,1
9,5,5,1,Avoid kobold attacks and focus on survival,combat,,0.0,0,False,0.0,0.0,0.013,0.0,1100.0,1100.0,675.0,1,425.0,-0.01,-0.01,0,16,interaction,1
10,5,5,1,Investigate the crude dagger and potential threats,survival,,0.0,0,False,-0.01,-0.01,0.0,0.0,300.0,300.0,-800.0,0,1100.0,0.0,0.013,0,14,movement,1
11,5,5,1,,none,,0.0,0,False,-0.01,-0.01,-0.01,0.0,33.3,33.3,-266.7,0,300.0,-0.01,0.0,1,14,movement,1
12,5,5,1,Investigate the recent message and provide a direction,movement,,0.0,0,False,-0.01,-0.01,-0.01,0.0,2700.0,2700.0,2666.7,0,33.3,-0.01,-0.01,0,14,inventory,1
13,10,10,4,Search the area for potential threats and items,survival,,0.0,0,False,-0.03,-0.0075,-0.01,-0.01,1433.3,33.3,-2666.7,2,2700.0,-0.01,-0.01,0,16,equipment,4
14,10,10,2,Search for items and potential threats,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,400.0,933.3,900.0,0,33.3,-0.01,-0.01,0,14,movement,2
15,15,15,2,Search the area for potential threats and items,survival,,0.0,0,False,-0.02,-0.01,-0.01,0.0,880.0,280.0,-653.3,1,933.3,-0.01,-0.01,0,16,combat,2
16,15,15,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.011,0.0,392.3,392.3,112.30000000000001,0,280.0,-0.01,-0.01,0,14,interaction,1
17,15,15,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.02,0.0,425.0,425.0,32.69999999999999,0,392.3,0.0,0.011,0,12,equipment,1
18,15,15,1,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,1033.3,1033.3,608.3,1,425.0,-0.01,-0.02,0,14,inventory,1
19,15,15,1,Eat something to recover health,survival,,0.0,0,False,0.0,0.0,0.011,0.0,60.0,60.0,-973.3,0,1033.3,-0.01,-0.01,0,14,movement,1
20,20,20,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.012,0.0,325.0,325.0,265.0,0,60.0,0.0,0.011,0,14,combat,1
21,20,20,3,Eat something to recover health,survival,,0.0,0,False,-0.03,-0.01,-0.01,-0.0010000000000000009,162.5,377.8,52.80000000000001,1,325.0,0.0,0.012,0,14,movement,3
22,20,20,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.001,0.0,1733.3,1733.3,1355.5,1,377.8,-0.01,-0.01,0,14,interaction,1
23,20,20,1,Search the area for items and clues to gain more information about your surroundings.,exploration,,0.0,0,False,-0.01,-0.01,-0.01,0.0,33.3,33.3,-1700.0,0,1733.3,0.0,0.001,1,14,item_use,1
24,25,25,1,Search the area for items and potential threats,survival,,0.0,0,False,0.0,0.0,0.008,0.0,2600.0,2600.0,2566.7,0,33.3,-0.01,-0.01,0,14,item_use,1
25,25,25,3,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.0033333333333333335,0.01,0.02,600.0,40.0,-2560.0,2,2600.0,0.0,0.008,0,16,equipment,3
26,25,25,1,Eat something to regain health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,325.0,325.0,285.0,0,40.0,0.0,0.01,0,14,movement,1
27,25,25,1,Eat something to recover health,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,162.5,162.5,-162.5,0,325.0,-0.01,-0.01,0,14,item_use,1
28,30,30,1,Search for items and potential threats,survival,,0.0,0,False,-0.01,-0.01,-0.01,0.0,283.3,283.3,120.80000000000001,0,162.5,-0.01,-0.01,0,14,exploration,1
29,30,30,2,Search the area for items and potential threats,survival,,0.0,0,False,-0.01,-0.005,-0.01,-0.011,1733.3,331.2,47.90000000000009,0,283.3,-0.01,-0.01,0,14,item_use,2
