advice_episode,start_step,episode_length,llm_advice_text,advice_category,advice_specificity,advice_urgency,num_suggestions,has_json_advice,combat_mentioned,survival_mentioned,exploration_mentioned,hp_before,level_before,reward_before,sr_before,critical_hp_before,low_hp_before,reward_ma5_before,hp_ma5_before,reward_trend_before,total_reward,avg_reward,max_reward,min_reward,reward_std,sr_change,hp_change,level_gained,positive_reward_rate,negative_reward_rate,survived,unique_actions,action_entropy,high_quality_advice,specific_advice,combat_advice
1,0,1,,none,0,0,0,0,0,0,0,100.0,1,-0.01,0.0,0,0,-0.01,100.0,0.0,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
2,0,1,kill orc for XP and gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.01,100.0,8.673617379884035e-19,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
3,0,1,descend stairs and fight kobold,combat,1,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.01,100.0,0.0,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
4,0,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.0075,100.0,0.0030000000000000022,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
5,0,1,Combat weak monsters when health > 60%,survival,1,2,3,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,0.0030000000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
6,0,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,-0.01,0.0,0,0,-0.006,100.0,0.0010000000000000007,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
7,0,1,descend stairs to progress deeper and gain experience,other,0,2,3,1,0,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,0.0010000000000000007,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
8,0,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,0.0,0.01,0,0,-0.002,100.0,-3.1671572627542286e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
9,0,1,avoid orc threat,defensive,1,2,3,1,0,1,0,100.0,1,0.0,0.01,0,0,-0.002,100.0,0.0009999999999999992,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
10,0,1,kill kobold to gain XP and gold,combat,2,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.002,100.0,0.0020000000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,1,1,1
11,0,1,combat kobold north,combat,2,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.002,100.0,-0.001999999999999999,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
12,0,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,3,1,1,1,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,-0.0029999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,1
13,0,1,kill orc and collect gold,combat,2,2,3,1,1,0,0,100.0,1,-0.01,0.0,0,0,-0.006,100.0,-0.0029999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,1,1,1
14,0,1,descend stairs and fight kobolds to gain XP,combat,1,2,3,1,1,0,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,-1.2668629051016915e-18,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
15,0,2,COMBAT WEAK MONSTERS when health > 60%,survival,1,2,2,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.006,100.0,0.0030000000000000005,-0.01,-0.005,0.0,-0.01,0.007071067811865475,-0.01,0.0,0,0.0,0.5,1,2,0.9999999997114609,0,0,1
16,0,1,clear single goal that maximizes reward,other,0,2,3,1,0,0,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,0.0010000000000000007,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,0
17,0,1,descend stairs,other,0,2,3,1,0,0,0,100.0,1,-0.01,0.0,0,0,-0.004,100.0,-0.0019999999999999996,-0.01,-0.01,-0.01,-0.01,,0.0,0.0,0,0.0,1.0,1,1,-1.4426951601859516e-10,0,0,0
18,0,1,COMBAT WEAK MONSTERS when health > 60%,survival,1,0,2,1,1,1,0,100.0,1,0.0,0.01,0,0,-0.004,100.0,-6.334314525508457e-19,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,1,1,-1.4426951601859516e-10,0,0,1
